date,county,state,vehicle_primary_use,battery_electric_vehicles_bevs_,plug_in_hybrid_electric_vehicles_phevs_,electric_vehicle_ev_total,non_electric_vehicles,total_vehicles,percent_electric_vehicles
2020-11-30T00:00:00.000,Sacramento,CA,Passenger,2,0,2,240,242,0.8264462809917355371900826446
2020-11-30T00:00:00.000,San Diego,CA,Passenger,15,4,19,2742,2761,0.6881564650488953277797899312
2020-11-30T00:00:00.000,Sedgwick,KS,Passenger,1,1,2,86,88,2.272727272727272727272727273
2020-11-30T00:00:00.000,Skamania,WA,Passenger,33,21,54,8306,8360,0.6459330143540669856459330144
2020-11-30T00:00:00.000,Thurston,WA,Passenger,1292,763,2055,197274,199329,1.030958866998780909952891953
2020-09-30T00:00:00.000,Newport,RI,Passenger,1,0,1,83,84,1.190476190476190476190476190
2020-09-30T00:00:00.000,Plaquemines,LA,Passenger,0,1,1,13,14,7.142857142857142857142857143
2020-09-30T00:00:00.000,San Juan,WA,Passenger,331,100,431,13909,14340,3.005578800557880055788005579
2020-09-30T00:00:00.000,Sedgwick,KS,Passenger,1,1,2,89,91,2.197802197802197802197802198
2020-09-30T00:00:00.000,Snohomish,WA,Truck,0,0,0,124947,124947,0
2020-09-30T00:00:00.000,Solano,CA,Passenger,1,0,1,211,212,0.4716981132075471698113207547
2020-07-31T00:00:00.000,Kootenai,ID,Passenger,1,0,1,207,208,0.4807692307692307692307692308
2020-07-31T00:00:00.000,Lewis,WA,Truck,0,0,0,26288,26288,0
2020-07-31T00:00:00.000,Los Angeles,CA,Passenger,7,11,18,980,998,1.803607214428857715430861723
2020-07-31T00:00:00.000,Mason,WA,Truck,0,0,0,20716,20716,0
2020-07-31T00:00:00.000,Monterey,CA,Passenger,0,1,1,163,164,0.6097560975609756097560975610
2020-07-31T00:00:00.000,Morris,NJ,Passenger,1,0,1,17,18,5.555555555555555555555555556
2020-07-31T00:00:00.000,New York,NY,Passenger,1,0,1,60,61,1.639344262295081967213114754
2020-07-31T00:00:00.000,Pacific,WA,Passenger,33,33,66,15768,15834,0.4168245547555892383478590375
2020-07-31T00:00:00.000,Pend Oreille,WA,Passenger,7,5,12,9245,9257,0.1296316301177487306902884304
2020-08-31T00:00:00.000,Albemarle,VA,Passenger,1,0,1,20,21,4.761904761904761904761904762
2020-08-31T00:00:00.000,Benton,WA,Passenger,380,322,702,134344,135046,0.5198228751684611169527420286
2020-08-31T00:00:00.000,Bexar,TX,Passenger,4,5,9,583,592,1.520270270270270270270270270
2020-08-31T00:00:00.000,Carroll,MD,Passenger,0,1,1,21,22,4.545454545454545454545454545
